PRODUCTID,CUSTOMERID,DATEID,ORDERNUMBER,ORDERLINENUMBER,DEALSIZE,QUANTITYORDERED,PRICEEACH,SALES,TOTAL_ORDERLINE_AMOUNT
9,41,20041104,10322,9,Medium,27,100.0,4784.13,2700.0
9,9,20041118,10333,6,Medium,33,99.21,3273.93,3273.93
9,11,20041129,10347,3,Medium,29,100.0,3586.43,2900.0
9,40,20041210,10357,8,Medium,49,100.0,5960.36,4900.0
9,43,20050120,10370,8,Large,49,100.0,8470.14,4900.0
9,5,20050217,10381,1,Small,20,100.0,2952.0,2000.0
9,43,20050309,10391,9,Small,39,63.2,2464.8,2464.8
9,44,20050501,10411,6,Medium,40,100.0,6232.0,4000.0
9,24,20050531,10424,3,Large,49,100.0,7969.36,4900.0
10,1,20030224,10107,1,Medium,21,100.0,3036.6,2100.0
10,2,20030507,10121,4,Large,50,100.0,8284.0,5000.0
10,3,20030701,10134,1,Small,20,100.0,2711.2,2000.0
10,4,20030825,10145,5,Large,49,100.0,8339.8,4900.0
10,5,20031010,10159,13,Medium,38,100.0,6238.84,3800.0
10,43,20031104,10169,13,Medium,35,100.0,4639.25,3500.0
10,7,20031111,10180,8,Medium,40,100.0,6747.6,4000.0
10,4,20031118,10189,1,Medium,28,100.0,4512.48,2800.0
10,9,20031201,10201,1,Medium,25,100.0,4029.0,2500.0
10,10,20040115,10211,13,Medium,36,100.0,4771.8,3600.0
10,7,20040221,10224,6,Medium,43,100.0,6087.94,4300.0
10,12,20040405,10237,6,Medium,32,100.0,4193.28,3200.0
10,13,20040518,10251,1,Large,46,100.0,7552.28,4600.0
10,14,20040628,10263,1,Medium,48,100.0,6434.4,4800.0
10,72,20040802,10276,14,Medium,43,100.0,5181.5,4300.0
10,16,20040827,10285,5,Medium,49,100.0,6863.92,4900.0
10,17,20040930,10299,8,Medium,24,100.0,4157.04,2400.0
10,18,20041015,10309,4,Medium,26,100.0,4660.24,2600.0
10,80,20041103,10319,9,Medium,30,100.0,4111.8,3000.0
10,1,20041115,10329,6,Medium,24,100.0,3542.64,2400.0
10,20,20041124,10341,8,Large,55,100.0,8118.55,5500.0
10,6,20050105,10362,1,Medium,22,100.0,3877.06,2200.0
10,15,20050203,10375,13,Medium,49,78.92,3867.08,3867.08
10,22,20050303,10388,6,Medium,44,100.0,5951.44,4400.0
10,23,20050408,10403,6,Large,66,100.0,8648.64,6600.0
10,24,20050513,10417,1,Medium,21,100.0,3447.78,2100.0
11,24,20030131,10104,1,Medium,34,100.0,5958.5,3400.0
11,27,20030416,10117,10,Medium,43,100.0,5911.64,4300.0
11,75,20030603,10127,3,Large,46,100.0,7366.44,4600.0
11,40,20030808,10142,13,Medium,33,100.0,4985.64,3300.0
11,24,20030928,10153,12,Medium,42,100.0,5393.64,4200.0
11,27,20031022,10165,4,Medium,34,100.0,4880.02,3400.0
11,71,20031106,10176,3,Large,47,100.0,8378.69,4700.0
11,51,20031114,10185,14,Medium,33,100.0,4038.21,3300.0
11,35,20031126,10196,6,Medium,24,100.0,3807.12,2400.0
11,31,20040102,10208,14,Medium,26,100.0,3142.36,2600.0
11,76,20040212,10220,3,Medium,30,100.0,4713.6,3000.0
11,73,20040315,10230,1,Large,43,100.0,7016.31,4300.0
11,74,20040505,10247,3,Medium,25,100.0,4381.25,2500.0
11,19,20040720,10272,3,Medium,27,100.0,4283.01,2700.0
11,40,20040820,10282,6,Medium,27,100.0,4364.82,2700.0
11,37,20040909,10293,9,Medium,24,100.0,4242.24,2400.0
11,78,20041014,10306,14,Medium,34,100.0,4982.7,3400.0
11,79,20041022,10314,6,Medium,46,100.0,6393.54,4600.0
11,12,20041105,10324,1,Small,27,54.33,1466.91,1466.91
11,63,20041120,10336,11,Medium,33,100.0,4059.33,3300.0
11,26,20041101,10348,4,Medium,47,100.0,4801.52,4700.0
11,24,20041210,10358,5,Small,49,55.34,2711.66,2711.66
11,36,20050126,10372,4,Medium,40,100.0,5862.0,4000.0
11,40,20050217,10382,11,Medium,37,100.0,4071.85,3700.0
11,14,20050505,10413,3,Large,47,100.0,8236.75,4700.0
12,67,20030303,10108,4,Medium,45,100.0,6130.35,4500.0
12,68,20030508,10122,8,Medium,37,99.82,3693.34,3693.34
12,40,20030702,10135,5,Medium,48,100.0,6031.68,4800.0
12,42,20030905,10147,5,Medium,31,100.0,3494.94,3100.0
12,55,20031011,10160,6,Medium,46,100.0,5294.14,4600.0
12,64,20031104,10170,4,Medium,47,100.0,5464.69,4700.0
12,8,20031112,10181,12,Small,28,100.0,2860.76,2800.0
12,69,20031120,10191,1,Medium,40,100.0,5590.0,4000.0
12,24,20031202,10203,6,Small,20,100.0,2254.8,2000.0
12,24,20040116,10212,16,Medium,39,100.0,4946.76,3900.0
12,70,20040222,10225,7,Small,25,99.82,2495.5,2495.5
12,49,20040409,10238,1,Medium,29,100.0,3167.38,2900.0
12,23,20040601,10253,11,Small,22,100.0,2402.84,2200.0
12,71,20040706,10266,12,Small,22,100.0,2454.54,2200.0
12,72,20040802,10276,1,Medium,47,100.0,5464.69,4700.0
12,70,20040830,10287,10,Medium,45,100.0,4756.5,4500.0
12,73,20031004,10300,3,Medium,29,100.0,3984.6,2900.0
12,69,20041016,10310,8,Medium,24,100.0,3100.32,2400.0
12,25,20041103,10320,1,Medium,35,100.0,4850.3,3500.0
12,1,20041115,10329,13,Medium,46,83.63,3846.98,3846.98
12,20,20041124,10341,1,Medium,44,95.93,4220.92,4220.92
12,74,20050106,10363,4,Medium,34,96.73,3288.82,3288.82
12,81,20050208,10376,1,Medium,35,100.0,3987.2,3500.0
12,38,20050303,10389,6,Small,25,72.38,1809.5,1809.5
12,20,20050517,10419,11,Small,10,100.0,1092.2,1000.0
13,49,20030211,10105,14,Medium,29,100.0,4566.05,2900.0
13,27,20030416,10117,8,Medium,39,100.0,5938.14,3900.0
13,75,20030603,10127,1,Large,42,100.0,8138.76,4200.0
13,40,20030808,10142,11,Large,46,100.0,9470.94,4600.0
13,24,20030928,10153,10,Large,49,100.0,7036.89,4900.0
13,27,20031022,10165,2,Medium,27,100.0,5559.03,2700.0
13,71,20031106,10176,1,Large,50,100.0,7872.5,5000.0
13,51,20031114,10185,12,Large,43,100.0,7886.2,4300.0
13,35,20031126,10196,4,Large,38,100.0,7232.16,3800.0
13,31,20040102,10208,12,Medium,20,100.0,3114.4,2000.0
13,76,20040212,10220,1,Medium,27,100.0,5045.22,2700.0
13,77,20040319,10231,1,Medium,49,100.0,6952.12,4900.0
13,74,20040505,10247,1,Medium,27,100.0,4157.73,2700.0
13,19,20040720,10272,1,Large,39,100.0,7962.24,3900.0
13,40,20040820,10282,4,Medium,24,100.0,3778.8,2400.0
13,37,20040909,10293,7,Large,45,100.0,8253.0,4500.0
13,78,20041014,10306,12,Medium,20,100.0,3633.4,2000.0
13,79,20041022,10314,4,Medium,36,100.0,6913.8,3600.0
13,18,20041105,10325,1,Small,24,100.0,2583.6,2400.0
13,63,20041120,10336,1,Medium,49,63.38,3105.62,3105.62
13,75,20041201,10349,10,Medium,26,100.0,4408.56,2600.0
13,2,20041215,10359,5,Medium,49,62.09,3042.41,3042.41
13,36,20050126,10372,1,Medium,34,100.0,5941.5,3400.0
13,40,20050217,10382,12,Medium,34,95.35,3241.9,3241.9
13,40,20050323,10396,3,Medium,33,100.0,6109.29,3300.0
13,14,20050505,10413,1,Medium,22,100.0,3387.78,2200.0
14,67,20030303,10108,7,Medium,39,89.38,3485.82,3485.82
14,68,20030508,10122,11,Small,32,63.84,2042.88,2042.88
14,40,20030702,10135,8,Small,24,75.01,1800.24,1800.24
14,42,20030905,10147,8,Small,21,63.84,1340.64,1340.64
14,5,20031010,10159,3,Small,24,73.42,1762.08,1762.08
14,43,20031104,10169,3,Small,36,63.84,2298.24,2298.24
14,8,20031112,10181,15,Small,20,81.4,1628.0,1628.0
14,69,20031120,10191,4,Small,30,64.64,1939.2,1939.2
14,24,20031202,10203,9,Medium,44,82.99,3651.56,3651.56
14,10,20040115,10211,3,Small,28,92.57,2591.96,2591.96
14,70,20040222,10225,10,Small,37,77.41,2864.17,2864.17
14,49,20040409,10238,4,Small,20,74.21,1484.2,1484.2
14,23,20040601,10253,14,Small,25,90.17,2254.25,2254.25
14,71,20040706,10266,15,Small,35,76.61,2681.35,2681.35
14,72,20040802,10276,4,Medium,38,83.79,3184.02,3184.02
14,70,20040830,10287,13,Small,41,69.43,2846.63,2846.63
14,73,20031004,10300,6,Small,22,76.61,1685.42,1685.42
14,69,20041016,10310,11,Medium,49,81.4,3988.6,3988.6
14,25,20041103,10320,4,Small,38,73.42,2789.96,2789.96
14,1,20041115,10329,14,Medium,33,100.0,3607.56,3300.0
14,20,20041124,10341,10,Medium,36,93.56,3368.16,3368.16
14,74,20050106,10363,5,Small,34,81.62,2775.08,2775.08
14,17,20050209,10377,5,Small,24,67.83,1627.92,1627.92
14,38,20050303,10389,7,Small,36,70.26,2529.36,2529.36
14,20,20050517,10419,14,Medium,34,90.17,3065.78,3065.78
15,24,20030131,10104,9,Medium,41,100.0,4615.78,4100.0
15,28,20030404,10115,5,Medium,46,100.0,5723.78,4600.0
15,75,20030603,10127,11,Small,24,100.0,2559.6,2400.0
15,74,20030801,10141,5,Small,21,100.0,2140.11,2100.0
15,61,20030921,10151,3,Medium,24,100.0,3327.6,2400.0
15,27,20031022,10165,12,Medium,48,100.0,6825.6,4800.0
15,50,20031106,10175,1,Medium,26,100.0,3543.28,2600.0
15,82,20031114,10184,6,Medium,37,100.0,4516.22,3700.0
15,48,20031125,10195,6,Medium,49,100.0,6445.46,4900.0
15,65,20031209,10207,7,Medium,34,99.54,3384.36,3384.36
15,83,20040210,10219,2,Medium,48,100.0,4891.68,4800.0
15,40,20040311,10229,1,Medium,36,100.0,4521.96,3600.0
15,24,20040505,10246,5,Medium,46,100.0,5069.66,4600.0
15,66,20040615,10259,4,Medium,46,100.0,6541.2,4600.0
15,40,20040720,10271,5,Medium,31,97.17,3012.27,3012.27
15,19,20040819,10281,1,Medium,41,100.0,5247.18,4100.0
15,1,20040908,10292,8,Small,21,100.0,2214.87,2100.0
15,16,20041013,10305,5,Medium,38,100.0,4773.18,3800.0
15,79,20041022,10314,14,Medium,45,100.0,6185.7,4500.0
15,12,20041105,10324,7,Small,26,58.38,1517.88,1517.88
15,63,20041120,10336,3,Medium,38,100.0,6372.6,3800.0
15,75,20041201,10349,9,Medium,48,100.0,5232.96,4800.0
15,24,20041210,10358,9,Small,42,64.16,2694.72,2694.72
15,40,20050123,10371,4,Small,49,35.71,1749.79,1749.79
15,40,20050217,10382,13,Small,32,66.58,2130.56,2130.56
15,24,20050503,10412,5,Medium,54,100.0,5951.34,5400.0
15,15,20050531,10425,4,Medium,33,100.0,4692.6,3300.0
16,67,20030303,10108,3,Medium,36,100.0,3731.04,3600.0
16,68,20030508,10122,7,Small,20,100.0,2142.0,2000.0
16,40,20030702,10135,4,Small,29,97.89,2838.81,2838.81
16,42,20030905,10147,4,Medium,33,97.89,3230.37,3230.37
16,55,20031011,10160,5,Medium,50,100.0,5182.0,5000.0
16,64,20031104,10170,3,Medium,41,100.0,4391.1,4100.0
16,8,20031112,10181,11,Medium,36,100.0,4477.32,3600.0
16,41,20031120,10192,16,Medium,27,100.0,3544.56,2700.0
16,24,20031202,10203,5,Medium,47,100.0,5195.85,4700.0
16,24,20040116,10212,15,Medium,33,100.0,4180.44,3300.0
16,70,20040222,10225,6,Small,21,100.0,2684.43,2100.0
16,61,20040412,10239,5,Small,21,93.28,1958.88,1958.88
16,23,20040601,10253,10,Medium,41,100.0,4910.57,4100.0
16,71,20040706,10266,11,Medium,40,100.0,4468.4,4000.0
16,27,20040804,10277,1,Medium,28,100.0,3127.88,2800.0
16,70,20040830,10287,9,Small,23,100.0,2675.13,2300.0
16,73,20031004,10300,2,Small,23,100.0,2807.61,2300.0
16,69,20041016,10310,7,Small,25,100.0,2504.75,2500.0
16,22,20041104,10321,15,Small,24,100.0,2984.88,2400.0
16,1,20041115,10329,15,Small,39,64.74,2524.86,2524.86
16,20,20041124,10341,7,Medium,55,75.2,4136.0,4136.0
16,74,20050106,10363,6,Medium,46,88.45,4068.7,4068.7
16,17,20050209,10377,1,Medium,50,100.0,5182.0,5000.0
16,38,20050303,10389,8,Medium,47,100.0,5243.79,4700.0
16,84,20050414,10405,5,Large,97,93.28,9048.16,9048.16
16,20,20050517,10419,10,Medium,32,100.0,3832.64,3200.0
17,18,20030129,10103,10,Medium,35,100.0,3920.0,3500.0
17,40,20030326,10113,4,Medium,49,100.0,4916.66,4900.0
17,26,20030528,10126,10,Medium,38,100.0,3857.0,3800.0
