DATEID,YEAR,SEMESTER,QUARTER,MONTHNAME,MONTH,MONTHNUMBERBYYEAR,WEEKNUMBER,DAYNAME,DAY,IS_WEEKDAY,FULLDATE
20031006,2003,2,4,October,10,2003-10,41,Monday,6,0,2003-10-06
20031008,2003,2,4,October,10,2003-10,41,Wednesday,8,1,2003-10-08
20031010,2003,2,4,October,10,2003-10,41,Friday,10,1,2003-10-10
20031011,2003,2,4,October,10,2003-10,41,Saturday,11,1,2003-10-11
20031017,2003,2,4,October,10,2003-10,42,Friday,17,1,2003-10-17
20031018,2003,2,4,October,10,2003-10,42,Saturday,18,1,2003-10-18
20031020,2003,2,4,October,10,2003-10,43,Monday,20,0,2003-10-20
20031021,2003,2,4,October,10,2003-10,43,Tuesday,21,1,2003-10-21
20031022,2003,2,4,October,10,2003-10,43,Wednesday,22,1,2003-10-22
20031023,2003,2,4,October,10,2003-10,43,Thursday,23,1,2003-10-23
20031028,2003,2,4,October,10,2003-10,44,Tuesday,28,1,2003-10-28
20031104,2003,2,4,November,11,2003-11,45,Tuesday,4,1,2003-11-04
20031105,2003,2,4,November,11,2003-11,45,Wednesday,5,1,2003-11-05
20031106,2003,2,4,November,11,2003-11,45,Thursday,6,1,2003-11-06
20031107,2003,2,4,November,11,2003-11,45,Friday,7,1,2003-11-07
20031108,2003,2,4,November,11,2003-11,45,Saturday,8,1,2003-11-08
20031111,2003,2,4,November,11,2003-11,46,Tuesday,11,1,2003-11-11
20031112,2003,2,4,November,11,2003-11,46,Wednesday,12,1,2003-11-12
20031113,2003,2,4,November,11,2003-11,46,Thursday,13,1,2003-11-13
20031114,2003,2,4,November,11,2003-11,46,Friday,14,1,2003-11-14
20031118,2003,2,4,November,11,2003-11,47,Tuesday,18,1,2003-11-18
20031119,2003,2,4,November,11,2003-11,47,Wednesday,19,1,2003-11-19
20031120,2003,2,4,November,11,2003-11,47,Thursday,20,1,2003-11-20
20031121,2003,2,4,November,11,2003-11,47,Friday,21,1,2003-11-21
20031125,2003,2,4,November,11,2003-11,48,Tuesday,25,1,2003-11-25
20031126,2003,2,4,November,11,2003-11,48,Wednesday,26,1,2003-11-26
20031127,2003,2,4,November,11,2003-11,48,Thursday,27,1,2003-11-27
20031201,2003,2,4,December,12,2003-12,49,Monday,1,0,2003-12-01
20031202,2003,2,4,December,12,2003-12,49,Tuesday,2,1,2003-12-02
20031203,2003,2,4,December,12,2003-12,49,Wednesday,3,1,2003-12-03
20031205,2003,2,4,December,12,2003-12,49,Friday,5,1,2003-12-05
20031209,2003,2,4,December,12,2003-12,50,Tuesday,9,1,2003-12-09
20040102,2004,1,1,January,1,2004-01,1,Friday,2,1,2004-01-02
20040109,2004,1,1,January,1,2004-01,2,Friday,9,1,2004-01-09
20040112,2004,1,1,January,1,2004-01,3,Monday,12,0,2004-01-12
20040115,2004,1,1,January,1,2004-01,3,Thursday,15,1,2004-01-15
20040116,2004,1,1,January,1,2004-01,3,Friday,16,1,2004-01-16
20040122,2004,1,1,January,1,2004-01,4,Thursday,22,1,2004-01-22
20040126,2004,1,1,January,1,2004-01,5,Monday,26,0,2004-01-26
20040129,2004,1,1,January,1,2004-01,5,Thursday,29,1,2004-01-29
20040202,2004,1,1,February,2,2004-02,6,Monday,2,0,2004-02-02
20040204,2004,1,1,February,2,2004-02,6,Wednesday,4,1,2004-02-04
20040210,2004,1,1,February,2,2004-02,7,Tuesday,10,1,2004-02-10
20040212,2004,1,1,February,2,2004-02,7,Thursday,12,1,2004-02-12
20040218,2004,1,1,February,2,2004-02,8,Wednesday,18,1,2004-02-18
20040219,2004,1,1,February,2,2004-02,8,Thursday,19,1,2004-02-19
20040220,2004,1,1,February,2,2004-02,8,Friday,20,1,2004-02-20
20040221,2004,1,1,February,2,2004-02,8,Saturday,21,1,2004-02-21
20040222,2004,1,1,February,2,2004-02,8,Sunday,22,1,2004-02-22
20040226,2004,1,1,February,2,2004-02,9,Thursday,26,1,2004-02-26
20040302,2004,1,1,March,3,2004-03,10,Tuesday,2,1,2004-03-02
20040310,2004,1,1,March,3,2004-03,11,Wednesday,10,1,2004-03-10
20040311,2004,1,1,March,3,2004-03,11,Thursday,11,1,2004-03-11
20040315,2004,1,1,March,3,2004-03,12,Monday,15,0,2004-03-15
20040319,2004,1,1,March,3,2004-03,12,Friday,19,1,2004-03-19
20040320,2004,1,1,March,3,2004-03,12,Saturday,20,1,2004-03-20
20040329,2004,1,1,March,3,2004-03,14,Monday,29,0,2004-03-29
20040402,2004,1,2,April,4,2004-04,14,Friday,2,1,2004-04-02
20040403,2004,1,2,April,4,2004-04,14,Saturday,3,1,2004-04-03
20040405,2004,1,2,April,4,2004-04,15,Monday,5,0,2004-04-05
20040409,2004,1,2,April,4,2004-04,15,Friday,9,1,2004-04-09
20040412,2004,1,2,April,4,2004-04,16,Monday,12,0,2004-04-12
20040413,2004,1,2,April,4,2004-04,16,Tuesday,13,1,2004-04-13
20040420,2004,1,2,April,4,2004-04,17,Tuesday,20,1,2004-04-20
20040426,2004,1,2,April,4,2004-04,18,Monday,26,0,2004-04-26
20040429,2004,1,2,April,4,2004-04,18,Thursday,29,1,2004-04-29
20040504,2004,1,2,May,5,2004-05,19,Tuesday,4,1,2004-05-04
20040505,2004,1,2,May,5,2004-05,19,Wednesday,5,1,2004-05-05
20040507,2004,1,2,May,5,2004-05,19,Friday,7,1,2004-05-07
20040508,2004,1,2,May,5,2004-05,19,Saturday,8,1,2004-05-08
20040511,2004,1,2,May,5,2004-05,20,Tuesday,11,1,2004-05-11
20040518,2004,1,2,May,5,2004-05,21,Tuesday,18,1,2004-05-18
20040526,2004,1,2,May,5,2004-05,22,Wednesday,26,1,2004-05-26
20040601,2004,1,2,June,6,2004-06,23,Tuesday,1,1,2004-06-01
20040604,2004,1,2,June,6,2004-06,23,Friday,4,1,2004-06-04
20040608,2004,1,2,June,6,2004-06,24,Tuesday,8,1,2004-06-08
20040614,2004,1,2,June,6,2004-06,25,Monday,14,0,2004-06-14
20040615,2004,1,2,June,6,2004-06,25,Tuesday,15,1,2004-06-15
20040617,2004,1,2,June,6,2004-06,25,Thursday,17,1,2004-06-17
20040624,2004,1,2,June,6,2004-06,26,Thursday,24,1,2004-06-24
20040628,2004,1,2,June,6,2004-06,27,Monday,28,0,2004-06-28
20040630,2004,1,2,June,6,2004-06,27,Wednesday,30,1,2004-06-30
20040702,2004,2,3,July,7,2004-07,27,Friday,2,1,2004-07-02
20040706,2004,2,3,July,7,2004-07,28,Tuesday,6,1,2004-07-06
20040707,2004,2,3,July,7,2004-07,28,Wednesday,7,1,2004-07-07
20040716,2004,2,3,July,7,2004-07,29,Friday,16,1,2004-07-16
20040719,2004,2,3,July,7,2004-07,30,Monday,19,0,2004-07-19
20040720,2004,2,3,July,7,2004-07,30,Tuesday,20,1,2004-07-20
20040721,2004,2,3,July,7,2004-07,30,Wednesday,21,1,2004-07-21
20040723,2004,2,3,July,7,2004-07,30,Friday,23,1,2004-07-23
20040802,2004,2,3,August,8,2004-08,32,Monday,2,0,2004-08-02
20040804,2004,2,3,August,8,2004-08,32,Wednesday,4,1,2004-08-04
20040806,2004,2,3,August,8,2004-08,32,Friday,6,1,2004-08-06
20040809,2004,2,3,August,8,2004-08,33,Monday,9,0,2004-08-09
20040817,2004,2,3,August,8,2004-08,34,Tuesday,17,1,2004-08-17
20040819,2004,2,3,August,8,2004-08,34,Thursday,19,1,2004-08-19
20040820,2004,2,3,August,8,2004-08,34,Friday,20,1,2004-08-20
20040821,2004,2,3,August,8,2004-08,34,Saturday,21,1,2004-08-21
20040827,2004,2,3,August,8,2004-08,35,Friday,27,1,2004-08-27
20040828,2004,2,3,August,8,2004-08,35,Saturday,28,1,2004-08-28
20040830,2004,2,3,August,8,2004-08,36,Monday,30,0,2004-08-30
20040901,2004,2,3,September,9,2004-09,36,Wednesday,1,1,2004-09-01
20040903,2004,2,3,September,9,2004-09,36,Friday,3,1,2004-09-03
20040907,2004,2,3,September,9,2004-09,37,Tuesday,7,1,2004-09-07
20040908,2004,2,3,September,9,2004-09,37,Wednesday,8,1,2004-09-08
20040909,2004,2,3,September,9,2004-09,37,Thursday,9,1,2004-09-09
20040910,2004,2,3,September,9,2004-09,37,Friday,10,1,2004-09-10
20040915,2004,2,3,September,9,2004-09,38,Wednesday,15,1,2004-09-15
20040916,2004,2,3,September,9,2004-09,38,Thursday,16,1,2004-09-16
20040927,2004,2,3,September,9,2004-09,40,Monday,27,0,2004-09-27
20040930,2004,2,3,September,9,2004-09,40,Thursday,30,1,2004-09-30
20041006,2004,2,4,October,10,2004-10,41,Wednesday,6,1,2004-10-06
20041011,2004,2,4,October,10,2004-10,42,Monday,11,0,2004-10-11
20041013,2004,2,4,October,10,2004-10,42,Wednesday,13,1,2004-10-13
20041014,2004,2,4,October,10,2004-10,42,Thursday,14,1,2004-10-14
20041015,2004,2,4,October,10,2004-10,42,Friday,15,1,2004-10-15
20041016,2004,2,4,October,10,2004-10,42,Saturday,16,1,2004-10-16
20041021,2004,2,4,October,10,2004-10,43,Thursday,21,1,2004-10-21
20041022,2004,2,4,October,10,2004-10,43,Friday,22,1,2004-10-22
20041029,2004,2,4,October,10,2004-10,44,Friday,29,1,2004-10-29
20041101,2004,2,4,November,11,2004-11,45,Monday,1,0,2004-11-01
20041102,2004,2,4,November,11,2004-11,45,Tuesday,2,1,2004-11-02
20041103,2004,2,4,November,11,2004-11,45,Wednesday,3,1,2004-11-03
20041104,2004,2,4,November,11,2004-11,45,Thursday,4,1,2004-11-04
20041105,2004,2,4,November,11,2004-11,45,Friday,5,1,2004-11-05
20041109,2004,2,4,November,11,2004-11,46,Tuesday,9,1,2004-11-09
20041110,2004,2,4,November,11,2004-11,46,Wednesday,10,1,2004-11-10
20041112,2004,2,4,November,11,2004-11,46,Friday,12,1,2004-11-12
20041115,2004,2,4,November,11,2004-11,47,Monday,15,0,2004-11-15
20041116,2004,2,4,November,11,2004-11,47,Tuesday,16,1,2004-11-16
20041117,2004,2,4,November,11,2004-11,47,Wednesday,17,1,2004-11-17
20041118,2004,2,4,November,11,2004-11,47,Thursday,18,1,2004-11-18
20041119,2004,2,4,November,11,2004-11,47,Friday,19,1,2004-11-19
20041120,2004,2,4,November,11,2004-11,47,Saturday,20,1,2004-11-20
20041121,2004,2,4,November,11,2004-11,47,Sunday,21,1,2004-11-21
20041122,2004,2,4,November,11,2004-11,48,Monday,22,0,2004-11-22
20041123,2004,2,4,November,11,2004-11,48,Tuesday,23,1,2004-11-23
20041124,2004,2,4,November,11,2004-11,48,Wednesday,24,1,2004-11-24
20041125,2004,2,4,November,11,2004-11,48,Thursday,25,1,2004-11-25
20041129,2004,2,4,November,11,2004-11,49,Monday,29,0,2004-11-29
20041201,2004,2,4,December,12,2004-12,49,Wednesday,1,1,2004-12-01
20041202,2004,2,4,December,12,2004-12,49,Thursday,2,1,2004-12-02
20041203,2004,2,4,December,12,2004-12,49,Friday,3,1,2004-12-03
20041204,2004,2,4,December,12,2004-12,49,Saturday,4,1,2004-12-04
20041207,2004,2,4,December,12,2004-12,50,Tuesday,7,1,2004-12-07
20041209,2004,2,4,December,12,2004-12,50,Thursday,9,1,2004-12-09
20041210,2004,2,4,December,12,2004-12,50,Friday,10,1,2004-12-10
20041215,2004,2,4,December,12,2004-12,51,Wednesday,15,1,2004-12-15
20041217,2004,2,4,December,12,2004-12,51,Friday,17,1,2004-12-17
20050105,2005,1,1,January,1,2005-01,1,Wednesday,5,1,2005-01-05
20050106,2005,1,1,January,1,2005-01,1,Thursday,6,1,2005-01-06
20050107,2005,1,1,January,1,2005-01,1,Friday,7,1,2005-01-07
20050110,2005,1,1,January,1,2005-01,2,Monday,10,0,2005-01-10
20050112,2005,1,1,January,1,2005-01,2,Wednesday,12,1,2005-01-12
20050119,2005,1,1,January,1,2005-01,3,Wednesday,19,1,2005-01-19
20050120,2005,1,1,January,1,2005-01,3,Thursday,20,1,2005-01-20
20050123,2005,1,1,January,1,2005-01,3,Sunday,23,1,2005-01-23
20050126,2005,1,1,January,1,2005-01,4,Wednesday,26,1,2005-01-26
20050131,2005,1,1,January,1,2005-01,5,Monday,31,0,2005-01-31
20050202,2005,1,1,February,2,2005-02,5,Wednesday,2,1,2005-02-02
20050203,2005,1,1,February,2,2005-02,5,Thursday,3,1,2005-02-03
20050208,2005,1,1,February,2,2005-02,6,Tuesday,8,1,2005-02-08
20050209,2005,1,1,February,2,2005-02,6,Wednesday,9,1,2005-02-09
20050210,2005,1,1,February,2,2005-02,6,Thursday,10,1,2005-02-10
20050216,2005,1,1,February,2,2005-02,7,Wednesday,16,1,2005-02-16
20050217,2005,1,1,February,2,2005-02,7,Thursday,17,1,2005-02-17
20050222,2005,1,1,February,2,2005-02,8,Tuesday,22,1,2005-02-22
20050223,2005,1,1,February,2,2005-02,8,Wednesday,23,1,2005-02-23
20050228,2005,1,1,February,2,2005-02,9,Monday,28,0,2005-02-28
20050301,2005,1,1,March,3,2005-03,9,Tuesday,1,1,2005-03-01
20050302,2005,1,1,March,3,2005-03,9,Wednesday,2,1,2005-03-02
20050303,2005,1,1,March,3,2005-03,9,Thursday,3,1,2005-03-03
20050304,2005,1,1,March,3,2005-03,9,Friday,4,1,2005-03-04
20050309,2005,1,1,March,3,2005-03,10,Wednesday,9,1,2005-03-09
20050310,2005,1,1,March,3,2005-03,10,Thursday,10,1,2005-03-10
20050315,2005,1,1,March,3,2005-03,11,Tuesday,15,1,2005-03-15
20050317,2005,1,1,March,3,2005-03,11,Thursday,17,1,2005-03-17
20050323,2005,1,1,March,3,2005-03,12,Wednesday,23,1,2005-03-23
20050328,2005,1,1,March,3,2005-03,13,Monday,28,0,2005-03-28
20050330,2005,1,1,March,3,2005-03,13,Wednesday,30,1,2005-03-30
20050401,2005,1,2,April,4,2005-04,13,Friday,1,1,2005-04-01
20050403,2005,1,2,April,4,2005-04,13,Sunday,3,1,2005-04-03
20050407,2005,1,2,April,4,2005-04,14,Thursday,7,1,2005-04-07
20050408,2005,1,2,April,4,2005-04,14,Friday,8,1,2005-04-08
20050414,2005,1,2,April,4,2005-04,15,Thursday,14,1,2005-04-14
20050415,2005,1,2,April,4,2005-04,15,Friday,15,1,2005-04-15
20050422,2005,1,2,April,4,2005-04,16,Friday,22,1,2005-04-22
20050423,2005,1,2,April,4,2005-04,16,Saturday,23,1,2005-04-23
20050501,2005,1,2,May,5,2005-05,17,Sunday,1,1,2005-05-01
20050503,2005,1,2,May,5,2005-05,18,Tuesday,3,1,2005-05-03
20050505,2005,1,2,May,5,2005-05,18,Thursday,5,1,2005-05-05
20050506,2005,1,2,May,5,2005-05,18,Friday,6,1,2005-05-06
20050509,2005,1,2,May,5,2005-05,19,Monday,9,0,2005-05-09
20050510,2005,1,2,May,5,2005-05,19,Tuesday,10,1,2005-05-10
20050513,2005,1,2,May,5,2005-05,19,Friday,13,1,2005-05-13
20050517,2005,1,2,May,5,2005-05,20,Tuesday,17,1,2005-05-17
20050529,2005,1,2,May,5,2005-05,21,Sunday,29,1,2005-05-29
20050530,2005,1,2,May,5,2005-05,22,Monday,30,0,2005-05-30
20050531,2005,1,2,May,5,2005-05,22,Tuesday,31,1,2005-05-31
